ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60606,37,09/06/2020,09/12/2020,1,64,32,2063.9,84,1759,2709,56723.6,0.0,0.0,0,1,0.0,32.2,3101,60606-37,POINT (-87.63676 41.882634)
60611,37,09/06/2020,09/12/2020,20,410,62,1264.4,397,8130,1224,25072.5,0.0,0.0,0,4,0.0,12.3,32426,60611-37,POINT (-87.620291 41.894734)
60634,12,03/15/2020,03/21/2020,17,18,22,23.7,68,77,90,101.3,0.2,0.2,0,0,0.0,0.0,75995,60634-12,POINT (-87.797373 41.944967)
60634,13,03/22/2020,03/28/2020,59,77,78,101.3,311,388,409,510.6,0.2,0.2,0,0,0.0,0.0,75995,60634-13,POINT (-87.797373 41.944967)
60633,35,08/23/2020,08/29/2020,32,310,249,2408.5,201,2308,1562,17931.8,0.2,0.1,1,6,7.8,46.6,12871,60633-35,POINT (-87.556037 41.653147)
60634,14,03/29/2020,04/04/2020,79,156,104,205.3,342,730,450,960.6,0.2,0.2,4,4,5.3,5.3,75995,60634-14,POINT (-87.797373 41.944967)
60634,15,04/05/2020,04/11/2020,99,255,130,335.5,409,1139,538,1498.8,0.2,0.2,3,7,3.9,9.2,75995,60634-15,POINT (-87.797373 41.944967)
60634,16,04/12/2020,04/18/2020,123,378,162,497.4,514,1653,676,2175.1,0.2,0.2,5,12,6.6,15.8,75995,60634-16,POINT (-87.797373 41.944967)
60634,17,04/19/2020,04/25/2020,180,558,237,734.3,631,2284,830,3005.5,0.3,0.2,6,18,7.9,23.7,75995,60634-17,POINT (-87.797373 41.944967)
60634,18,04/26/2020,05/02/2020,222,780,292,1026.4,751,3035,988,3993.7,0.3,0.3,6,24,7.9,31.6,75995,60634-18,POINT (-87.797373 41.944967)
60634,19,05/03/2020,05/09/2020,210,990,276,1302.7,766,3801,1008,5001.6,0.3,0.3,4,28,5.3,36.8,75995,60634-19,POINT (-87.797373 41.944967)
60634,20,05/10/2020,05/16/2020,158,1148,208,1510.6,786,4587,1034,6035.9,0.2,0.2,6,34,7.9,44.7,75995,60634-20,POINT (-87.797373 41.944967)
60638,18,04/26/2020,05/02/2020,186,595,316,1012,551,1952,937,3319.9,0.3,0.3,8,15,13.6,25.5,58797,60638-18,POINT (-87.771902 41.787032)
60647,38,09/13/2020,09/19/2020,58,2236,66,2555.2,1012,23750,1156,27140.1,0.1,0.1,0,93,0.0,106.3,87509,60647-38,POINT (-87.701101 41.921058)
60647,39,09/20/2020,09/26/2020,52,2288,59,2614.6,1177,24927,1345,28485.1,0.0,0.1,1,94,1.1,107.4,87509,60647-39,POINT (-87.701101 41.921058)
60647,40,09/27/2020,10/03/2020,68,2356,78,2692.3,1049,25976,1199,29683.8,0.1,0.1,0,94,0.0,107.4,87509,60647-40,POINT (-87.701101 41.921058)
60647,41,10/04/2020,10/10/2020,113,2469,129,2821.4,1276,27252,1458,31141.9,0.1,0.1,0,94,0.0,107.4,87509,60647-41,POINT (-87.701101 41.921058)
60666,30,07/19/2020,07/25/2020,,,,,1,8,0,0,,,0,0,0.0,0.0,0,60666-30,POINT (-87.896371 41.979511)
60647,42,10/11/2020,10/17/2020,163,2632,186,3007.7,1284,28536,1467,32609.2,0.1,0.1,1,95,1.1,108.6,87509,60647-42,POINT (-87.701101 41.921058)
60602,37,09/06/2020,09/12/2020,0,20,0,1607.7,12,404,965,32475.9,0.0,0.0,0,0,0.0,0.0,1244,60602-37,POINT (-87.628309 41.883136)
60604,30,07/19/2020,07/25/2020,0,25,0,3196.9,12,187,1534,23913,0.0,0.1,0,0,0.0,0.0,782,60604-30,POINT (-87.629029 41.878153)
60605,30,07/19/2020,07/25/2020,14,277,51,1006.6,434,4103,1577,14909.7,0.0,0.1,0,1,0.0,3.6,27519,60605-30,POINT (-87.623449 41.867824)
